frame,max_y2 - min_y2
6,253
7,253
8,284
9,283
10,283
11,282
12,282
13,393
14,474
15,330
16,248
17,220
18,220
19,386
20,396
21,309
22,309
23,266
24,252
25,252
26,342
27,252
28,308
29,309
30,309
31,493
32,493
33,493
34,493
35,492
36,492
37,383
38,439
39,494
40,494
41,410
42,440
43,496
44,495
45,442
46,441
47,440
48,495
49,352
50,440
51,408
52,309
53,439
54,439
55,439
56,411
57,496
58,497
59,496
60,496
61,496
62,497
63,497
64,387
65,386
66,497
67,497
68,365
69,311
70,419
71,496
72,385
73,385
74,495
75,495
76,495
77,495
78,384
79,384
80,385
81,385
82,496
83,495
84,384
85,411
86,385
87,386
88,385
89,411
90,385
91,411
92,410
93,255
94,255
95,255
96,365
97,497
98,497
99,497
100,497
101,521
102,521
103,522
104,440
105,467
106,466
107,211
108,366
109,308
110,307
111,330
112,364
113,517
114,443
115,364
116,435
117,435
118,495
119,436
120,495
121,436
122,436
123,438
124,441
125,408
126,408
127,386
128,386
129,494
130,403
131,510
132,296
133,402
134,402
135,401
136,420
137,387
138,387
139,408
140,409
141,411
142,385
143,396
144,339
145,501
146,498
147,503
148,503
149,498
150,498
151,446
152,445
153,445
154,498
155,398
156,398
157,398
158,398
159,399
160,400
161,400
162,442
163,442
164,498
165,444
166,472
167,471
168,495
169,524
170,495
171,495
172,495
173,524
174,497
175,407
176,437
177,437
178,527
179,497
180,527
181,528
182,497
183,497
184,498
185,498
186,498
187,433
188,400
189,334
190,316
191,489
192,369
193,488
194,501
195,500
196,500
197,369
198,500
199,500
200,500
201,500
202,500
203,499
204,341
205,501
206,501
207,500
208,500
209,500
210,384
211,383
212,381
213,413
214,313
215,496
216,499
217,495
218,495
219,496
220,496
221,496
222,496
223,497
224,497
225,443
226,457
227,498
228,443
229,498
230,409
231,409
232,426
233,381
234,381
235,381
236,381
237,396
238,381
239,382
240,564
241,383
242,382
243,382
244,382
245,410
246,374
247,338
248,343
249,380
250,409
251,409
252,379
253,379
254,380
255,380
256,380
257,348
258,381
259,380
260,381
261,381
262,380
263,393
264,391
265,390
266,420
267,419
268,408
269,408
270,378
271,378
272,408
273,408
274,435
275,436
276,437
277,360
278,408
279,383
280,411
281,339
282,383
283,382
284,381
285,338
286,412
287,412
288,408
289,408
290,408
291,408
292,412
293,412
294,413
295,413
296,413
297,413
298,412
299,412
300,413
301,315
302,381
303,495
304,522
305,408
306,254
307,395
308,501
309,415
310,413
311,412
312,412
313,393
314,413
315,413
316,448
317,413
318,482
319,457
320,481
321,391
322,392
323,391
324,414
325,413
326,389
327,444
328,275
329,415
330,413
331,414
332,388
333,304
334,335
335,337
336,417
337,417
338,337
339,413
340,389
341,418
342,389
343,418
344,376
345,468
346,376
347,377
348,467
349,394
350,394
351,394
352,394
353,389
354,390
355,472
356,392
357,390
358,368
359,391
360,391
361,476
362,391
363,391
364,391
365,512
366,402
367,394
368,281
369,310
370,310
371,514
372,393
373,385
374,309
375,256
376,366
377,384
378,384
379,384
380,384
381,385
382,257
383,209
384,122
385,210
386,351
387,330
388,439
389,446
390,445
391,445
392,408
393,483
394,350
395,350
396,420
397,506
398,463
399,463
400,367
401,487
402,471
403,300
404,352
405,386
406,401
407,402
408,403
409,299
410,442
411,316
412,316
413,389
414,332
415,343
416,214
417,389
418,389
419,389
420,405
421,404
422,238
423,442
424,444
425,443
426,443
427,485
428,391
429,410
430,409
431,392
432,392
433,311
434,311
435,312
436,210
437,319
438,319
439,318
440,468
441,320
442,319
443,393
444,393
445,413
446,414
447,440
448,396
449,300
450,326
451,396
452,440
453,459
454,321
455,407
456,462
457,461
458,464
459,397
460,420
461,420
462,420
463,421
464,421
465,384
466,385
467,280
468,399
469,271
470,414
471,270
472,419
473,450
474,404
475,467
476,348
477,447
478,298
479,470
480,448
481,470
482,421
483,421
484,422
485,473
486,473
487,473
488,441
489,322
490,321
491,322
492,478
493,451
494,456
495,425
496,458
497,388
498,370
499,352
500,367
501,323
502,377
503,408
504,201
505,425
506,404
507,404
508,404
509,370
510,428
511,323
512,322
513,317
514,422
515,368
516,285
517,285
518,230
519,425
520,423
521,379
522,428
523,433
524,429
525,429
526,435
527,256
528,482
529,404
530,431
531,431
532,425
533,479
534,475
535,493
536,256
537,396
538,403
539,403
540,393
541,393
542,422
543,393
544,209
545,296
546,436
547,426
548,427
549,427
550,437
551,473
552,244
553,211
554,377
555,210
556,289
557,353
558,434
559,243
560,287
561,255
562,255
563,335
564,255
565,337
566,337
567,283
568,400
569,401
570,321
571,319
572,439
573,440
574,441
575,421
576,382
577,383
578,403
579,403
580,403
581,423
582,443
583,445
584,483
585,302
586,302
587,484
588,499
589,464
590,465
591,424
592,424
593,423
594,422
595,480
596,480
597,422
598,422
599,444
600,463
601,504
602,487
603,427
604,485
605,485
606,273
607,463
608,465
609,426
610,328
611,329
612,430
613,402
614,402
615,300
616,471
617,470
618,483
619,453
620,454
621,455
622,328
623,403
624,429
625,429
626,430
627,431
628,431
629,462
630,462
631,461
632,463
633,464
634,255
635,463
636,329
637,410
638,459
639,350
640,351
641,459
642,325
643,377
644,490
645,522
646,523
647,467
648,467
649,407
650,380
651,407
652,410
653,460
654,459
655,438
656,467
657,410
658,440
659,344
660,313
661,312
662,443
663,157
664,476
665,474
666,231
667,351
668,499
669,463
670,462
671,337
672,239
673,199
674,314
675,450
676,310
677,309
678,316
679,451
680,450
681,452
682,316
683,466
684,467
685,324
686,462
687,323
688,398
689,324
690,374
691,373
692,374
693,374
694,508
695,374
696,361
697,361
698,361
699,361
700,362
701,376
702,360
703,360
704,360
705,377
706,376
707,499
708,426
709,360
710,360
711,374
712,360
713,360
714,339
715,353
716,322
717,321
718,233
719,184
720,396
721,323
722,458
723,408
724,229
725,362
726,328
727,328
728,462
729,374
730,496
731,442
732,451
733,465
734,497
735,466
736,405
737,468
738,376
739,429
740,407
741,431
742,376
743,375
744,362
745,457
746,361
747,361
748,376
749,310
750,458
751,255
752,254
753,387
754,387
755,274
756,274
757,275
758,314
759,314
760,324
761,316
762,313
763,461
764,316
765,312
766,323
767,313
768,441
769,312
770,276
771,499
772,505
773,509
774,509
775,508
776,549
777,375
778,365
779,497
780,474
781,474
782,474
783,475
784,505
785,475
786,476
787,399
788,399
789,477
790,400
791,398
792,476
793,543
794,411
795,411
796,411
797,463
798,511
799,525
800,525
801,539
802,409
803,373
804,372
805,555
806,511
807,479
808,480
809,372
810,553
811,553
812,554
813,554
814,554
815,484
816,517
817,484
818,404
819,341
820,373
821,476
822,551
823,539
824,550
825,476
826,488
827,488
828,488
829,488
830,553
831,490
832,552
833,552
834,490
835,490
836,489
837,490
838,490
839,490
840,489
841,488
842,489
843,489
844,488
845,398
846,398
847,545
848,543
849,473
850,542
851,495
852,542
853,541
854,541
855,542
856,517
857,494
858,495
859,403
860,404
861,404
862,404
863,493
864,373
865,373
866,442
867,444
868,443
869,455
870,497
871,496
872,496
873,371
874,371
875,407
876,407
877,407
878,471
879,472
880,407
881,448
882,448
883,448
884,407
885,449
886,407
887,479
888,409
889,409
890,408
891,408
892,408
893,408
894,461
895,459
896,458
897,427
898,426
899,362
900,407
901,462
902,493
903,408
904,463
905,540
906,539
907,538
908,538
909,407
910,407
911,417
912,407
913,522
914,521
915,521
916,521
917,407
918,407
919,409
920,427
921,474
922,475
923,409
924,409
925,408
926,408
927,478
928,430
929,478
930,479
931,432
932,359
933,446
934,495
935,495
936,495
937,494
938,495
939,493
940,494
941,486
942,495
943,494
944,494
945,494
946,494
947,518
948,497
949,505
950,515
951,493
952,485
953,493
954,493
955,494
956,494
957,493
958,510
959,501
960,494
961,494
962,452
963,508
964,538
965,538
966,405
967,372
968,454
969,533
970,532
971,456
972,498
973,499
974,499
975,499
976,499
977,500
978,499
979,499
980,404
981,404
982,499
983,494
984,372
985,324
986,324
987,325
988,325
989,324
990,506
991,507
992,326
993,507
994,507
995,507
996,506
997,506
998,506
999,521
1000,509
1001,504
1002,521
1003,520
1004,326
1005,326
1006,546
1007,546
1008,517
1009,325
1010,325
1011,325
1012,325
1013,516
1014,517
1015,325
1016,324
1017,324
1018,324
1019,403
1020,403
1021,325
1022,325
1023,324
1024,446
1025,477
1026,422
1027,325
1028,358
1029,359
1030,520
1031,404
1032,521
1033,405
1034,405
1035,523
1036,505
1037,534
1038,534
1039,535
1040,406
1041,535
1042,525
1043,326
1044,533
1045,524
1046,405
1047,524
1048,404
1049,406
1050,492
1051,503
1052,502
1053,527
1054,397
1055,460
1056,527
1057,527
1058,528
1059,501
1060,501
1061,502
1062,404
1063,405
1064,502
1065,500
1066,521
1067,496
1068,496
1069,510
1070,462
1071,460
1072,469
1073,510
1074,326
1075,326
1076,325
1077,507
1078,507
1079,508
1080,326
1081,473
1082,473
1083,368
1084,453
1085,454
1086,493
1087,494
1088,494
1089,494
1090,477
1091,537
1092,528
1093,455
1094,460
1095,453
1096,406
1097,405
1098,405
1099,534
1100,534
1101,405
1102,467
1103,479
1104,480
1105,405
1106,404
1107,395
1108,444
1109,532
1110,404
1111,405
1112,405
1113,486
1114,485
1115,485
1116,485
1117,485
1118,485
1119,486
1120,527
1121,526
1122,486
1123,486
1124,487
1125,472
1126,524
1127,485
1128,486
1129,488
1130,487
1131,406
1132,523
1133,405
1134,433
1135,478
1136,478
1137,541
1138,541
1139,541
1140,405
1141,541
1142,406
1143,427
1144,540
1145,539
1146,405
1147,405
1148,406
1149,465
1150,465
1151,406
1152,465
1153,478
1154,486
1155,486
1156,486
1157,451
1158,536
1159,535
1160,536
1161,487
1162,488
1163,488
1164,415
1165,414
1166,415
1167,413
1168,505
1169,505
1170,405
1171,405
1172,405
1173,405
1174,405
1175,411
1176,469
1177,469
1178,404
1179,467
1180,466
1181,529
1182,466
1183,467
1184,466
1185,405
1186,524
1187,406
1188,406
1189,406
1190,406
1191,406
1192,406
1193,406
1194,405
1195,522
1196,406
1197,405
1198,405
1199,405
1200,405
1201,404
1202,405
1203,518
1204,405
1205,429
1206,499
1207,405
1208,427
1209,426
1210,406
1211,407
1212,407
1213,406
1214,514
1215,514
1216,513
1217,508
1218,406
1219,407
1220,507
1221,507
1222,406
1223,485
1224,407
1225,507
1226,406
1227,509
1228,507
1229,406
1230,438
1231,441
1232,406
1233,508
1234,406
1235,406
1236,510
1237,444
1238,445
1239,503
1240,504
1241,447
1242,448
1243,448
1244,407
1245,406
1246,449
1247,406
1248,406
1249,406
1250,448
1251,448
1252,473
1253,476
1254,448
1255,448
1256,439
1257,440
1258,464
1259,406
1260,406
1261,406
1262,406
1263,407
1264,407
1265,406
1266,406
1267,463
1268,463
1269,463
1270,465
1271,464
1272,464
1273,406
1274,466
1275,466
1276,406
1277,405
1278,405
1279,405
1280,406
1281,407
1282,406
1283,406
1284,406
1285,406
1286,406
1287,406
1288,484
1289,576
1290,576
1291,575
1292,575
1293,575
1294,575
1295,575
1296,575
1297,407
1298,414
1299,407
1300,407
1301,574
1302,573
1303,573
1304,573
1305,574
1306,574
1307,574
1308,573
1309,572
1310,538
1311,538
1312,539
1313,539
1314,539
1315,539
1316,540
1317,541
1318,541
1319,541
1320,541
1321,567
1322,567
1323,539
1324,540
1325,540
1326,498
1327,569
1328,569
1329,569
1330,569
1331,568
1332,567
1333,566
1334,541
1335,495
1336,495
1337,495
1338,540
1339,539
1340,563
1341,563
1342,563
1343,563
1344,563
1345,540
1346,540
1347,564
1348,562
1349,539
1350,539
1351,539
1352,538
1353,539
1354,560
1355,559
1356,538
1357,538
1358,537
1359,537
1360,528
1361,484
1362,492
1363,555
1364,432
1365,431
1366,537
1367,537
1368,536
1369,405
1370,491
1371,405
1372,535
1373,405
1374,567
1375,558
1376,542
1377,542
1378,537
1379,537
1380,569
1381,568
1382,559
1383,559
1384,559
1385,567
1386,567
1387,567
1388,567
1389,535
1390,536
1391,526
1392,526
1393,526
1394,508
1395,407
1396,537
1397,537
1398,407
1399,565
1400,537
1401,537
1402,566
1403,538
1404,565
1405,544
1406,543
1407,408
1408,565
1409,565
1410,565
1411,565
1412,564
1413,564
1414,541
1415,541
1416,541
1417,407
1418,599
1419,563
1420,407
1421,407
1422,407
1423,407
1424,561
1425,406
1426,560
1427,407
1428,407
1429,561
1430,533
1431,406
1432,533
1433,418
1434,525
1435,525
1436,526
1437,407
1438,494
1439,525
1440,494
1441,494
1442,494
1443,526
1444,526
1445,531
1446,530
1447,527
1448,531
1449,495
1450,549
1451,540
1452,504
1453,458
1454,422
1455,422
1456,494
1457,547
1458,547
1459,547
1460,546
1461,494
1462,494
1463,537
1464,485
1465,494
1466,322
1467,545
1468,535
1469,318
1470,318
1471,521
1472,318
1473,510
1474,345
1475,318
1476,318
1477,542
1478,542
1479,541
1480,542
1481,405
1482,404
1483,404
1484,404
1485,405
1486,405
1487,405
1488,519
1489,519
1490,519
1491,536
1492,536
1493,404
1494,405
1495,404
1496,404
1497,405
1498,319
1499,512
1500,512
1501,403
1502,403
1503,429
1504,403
1505,403
1506,534
1507,534
1508,533
1509,533
1510,563
1511,410
1512,533
1513,533
1514,563
1515,533
1516,533
1517,533
1518,565
1519,566
1520,566
1521,566
1522,534
1523,566
1524,533
1525,533
1526,534
1527,534
1528,534
1529,534
1530,532
1531,532
1532,532
1533,533
1534,533
1535,533
1536,533
1537,447
1538,447
1539,358
1540,320
1541,545
1542,544
1543,497
1544,484
1545,497
1546,396
1547,515
1548,321
1549,487
1550,486
1551,312
1552,523
1553,523
1554,534
1555,533
1556,344
1557,310
1558,310
1559,319
1560,319
1561,319
1562,344
1563,508
1564,533
1565,331
1566,488
1567,347
1568,493
1569,559
1570,496
1571,467
1572,506
1573,505
1574,367
1575,318
1576,328
1577,528
1578,479
1579,469
1580,498
1581,498
1582,529
1583,318
1584,318
1585,318
1586,560
1587,560
1588,358
1589,509
1590,510
1591,504
1592,346
1593,320
1594,320
1595,321
1596,412
1597,320
1598,497
1599,497
1600,497
1601,317
1602,320
1603,355
1604,472
1605,472
1606,464
1607,517
1608,318
1609,329
1610,329
1611,344
1612,374
1613,375
1614,350
1615,436
1616,436
1617,497
1618,436
1619,495
1620,435
1621,563
1622,563
1623,563
1624,564
1625,370
1626,460
1627,563
1628,562
1629,526
1630,535
1631,562
1632,564
1633,565
1634,565
1635,566
1636,566
1637,567
1638,568
1639,569
1640,538
1641,538
1642,538
1643,537
1644,537
1645,396
1646,565
1647,492
1648,563
1649,563
1650,538
1651,564
1652,538
1653,538
1654,538
1655,410
1656,538
1657,537
1658,557
1659,490
1660,453
1661,558
1662,537
1663,559
1664,559
1665,537
1666,559
1667,558
1668,537
1669,537
1670,537
1671,537
1672,537
1673,537
1674,558
1675,559
1676,559
1677,344
1678,323
1679,537
1680,537
1681,537
1682,538
1683,537
1684,537
1685,537
1686,243
1687,537
1688,536
1689,536
1690,536
1691,537
1692,537
1693,537
1694,536
1695,536
1696,536
1697,537
1698,537
1699,537
1700,537
1701,376
1702,468
1703,467
1704,323
1705,275
1706,318
1707,334
1708,335
1709,333
1710,332
1711,332
1712,332
1713,335
1714,532
1715,530
1716,532
1717,533
1718,533
1719,330
1720,408
1721,430
1722,408
1723,534
1724,534
1725,534
1726,533
1727,533
1728,532
1729,532
1730,532
1731,532
1732,532
1733,532
1734,564
1735,565
1736,565
1737,533
1738,523
1739,535
1740,535
1741,535
1742,555
1743,535
1744,535
1745,319
1746,319
1747,307
1748,250
1749,473
1750,439
1751,450
1752,259
1753,409
1754,408
1755,453
1756,457
1757,317
1758,317
1759,405
1760,404
1761,419
1762,318
1763,450
1764,398
1765,317
1766,317
1767,539
1768,539
1769,539
1770,539
1771,539
