frame,vehicle_id,centroid_x,centroid_y,x1,y1,x2,y2
6,36,487,274,821,388,900,464
6,23,487,274,271,223,290,257
6,17,487,274,240,458,300,508
6,14,487,274,492,289,523,312
6,10,487,274,752,401,790,439
6,6,487,274,536,305,579,344
6,4,487,274,395,231,427,255
6,1,487,274,469,257,505,291
7,37,487,274,290,381,369,466
7,36,487,274,821,388,901,464
7,30,487,274,581,381,632,422
7,17,487,274,240,458,300,508
7,14,487,274,491,289,523,312
7,6,487,274,537,305,579,344
7,4,487,274,395,231,426,255
7,1,487,274,469,257,505,291
8,37,487,274,290,380,368,464
8,36,487,274,821,388,901,464
8,30,487,274,582,382,633,424
8,27,487,274,600,292,667,341
8,17,487,274,240,458,300,508
8,14,487,274,491,289,523,312
8,13,487,274,854,479,903,536
8,6,487,274,537,305,579,344
8,4,487,274,395,231,426,255
8,3,487,274,884,485,927,539
8,1,487,274,469,257,505,291
9,36,487,274,821,388,901,464
9,27,487,274,600,292,666,341
9,17,487,274,239,458,300,508
9,14,487,274,491,289,523,312
9,10,487,274,752,402,790,439
9,6,487,274,536,305,578,344
9,4,487,274,395,231,426,255
9,3,487,274,885,485,927,538
9,1,487,274,469,257,505,291
10,36,487,274,821,388,901,464
10,32,487,274,219,377,268,422
10,27,487,274,600,292,666,341
10,17,487,274,239,457,300,509
10,14,487,274,491,289,523,312
10,10,487,274,752,402,789,439
10,6,487,274,537,305,578,344
10,4,487,274,395,231,426,256
10,3,487,274,884,485,927,539
10,1,487,274,470,257,504,291
11,36,487,274,821,388,901,464
11,32,487,274,219,377,268,422
11,27,487,274,599,291,666,340
11,17,487,274,239,457,300,509
11,14,487,274,491,289,522,312
11,6,487,274,537,305,578,345
11,4,487,274,395,231,426,256
11,3,487,274,884,485,927,538
11,1,487,274,470,258,505,290
12,36,487,274,821,388,900,464
12,32,487,274,218,376,268,422
12,27,487,274,599,291,666,340
12,17,487,274,239,457,300,509
12,14,487,274,491,288,522,312
12,13,487,274,852,478,904,536
12,6,487,274,537,305,578,344
12,4,487,274,395,231,426,256
12,3,487,274,884,485,927,538
12,1,487,274,470,258,505,290
13,36,487,274,821,387,900,465
13,32,487,274,218,376,268,422
13,27,487,274,599,291,666,341
13,19,487,274,69,112,102,144
13,17,487,274,239,457,300,509
13,14,487,274,491,289,522,312
13,10,487,274,752,402,789,440
13,6,487,274,537,305,577,344
13,3,487,274,884,483,927,537
13,1,487,274,470,258,505,290
14,46,488,273,253,537,326,619
14,36,488,273,821,387,901,465
14,32,488,273,216,376,268,422
14,27,488,273,599,291,666,340
14,19,488,273,70,111,103,145
14,17,488,273,239,457,300,509
14,14,488,273,491,289,522,312
14,10,488,273,752,402,789,440
14,6,488,273,537,305,577,344
14,1,488,273,471,257,505,290
15,46,488,273,254,538,326,620
15,36,488,273,821,388,900,464
15,27,488,273,599,291,666,340
15,17,488,273,239,457,300,509
15,14,488,273,491,289,522,312
15,10,488,273,752,402,789,440
15,6,488,273,537,305,577,344
15,3,488,273,883,483,926,538
15,1,488,273,471,257,505,290
16,36,488,273,821,388,900,464
16,27,488,273,599,291,665,340
16,17,488,273,239,456,300,510
16,14,488,273,491,288,522,312
16,10,488,273,752,402,789,440
